position,pbp_vars,demo_vars,stats_vars
K,play_id,gsis_id,player_id
K,game_id,display_name,player_name
K,home_team,common_first_name,player_display_name
K,away_team,first_name,position
K,season_type,last_name,headshot_url
K,week,suffix,season
K,posteam,esb_id,week
K,defteam,nfl_id,season_type
K,game_date,pfr_id,team
K,yardline_100,otc_id,opponent_team
K,game_seconds_remaining,espn_id,fg_made
K,drive,smart_id,fg_att
K,sp,birth_date,fg_missed
K,goal_to_go,position,fg_blocked
K,ydstogo,headshot,fg_long
K,ydsnet,college_name,fg_pct
K,desc,college_conference,fg_made_0_19
K,play_type,latest_team,fg_made_20_29
K,field_goal_result,draft_team,fg_made_30_39
K,kick_distance,height,fg_made_40_49
K,home_timeouts_remaining,weight,fg_made_50_59
K,away_timeouts_remaining,rookie_season,fg_made_60_
K,total_home_score,last_season,fg_missed_0_19
K,total_away_score,NA,fg_missed_20_29
K,posteam_score,NA,fg_missed_30_39
K,defteam_score,NA,fg_missed_40_49
K,score_differential,NA,fg_missed_50_59
K,wp,NA,fg_missed_60_
K,def_wp,NA,gwfg_made
K,home_wp,NA,gwfg_att
K,away_wp,NA,gwfg_missed
K,wpa,NA,gwfg_blocked
K,home_wp_post,NA,fantasy_points
K,away_wp_post,NA,NA
K,touchback,NA,NA
K,kickoff_inside_twenty,NA,NA
K,kickoff_in_endzone,NA,NA
K,kickoff_out_of_bounds,NA,NA
K,kickoff_downed,NA,NA
K,kickoff_fair_catch,NA,NA
K,field_goal_attempt,NA,NA
K,kickoff_attempt,NA,NA
K,kicker_player_name,NA,NA
K,kicker_player_id,NA,NA
K,season,NA,NA
K,series_result,NA,NA
K,start_time,NA,NA
K,weather,NA,NA
K,special_teams_play,NA,NA
K,drive_play_count,NA,NA
K,drive_time_of_possession,NA,NA
K,drive_first_downs,NA,NA
K,drive_inside20,NA,NA
K,drive_ended_with_score,NA,NA
K,drive_yards_penalized,NA,NA
K,away_score,NA,NA
K,home_score,NA,NA
K,result,NA,NA
K,total,NA,NA
K,div_game,NA,NA
K,roof,NA,NA
K,surface,NA,NA
K,temp,NA,NA
K,wind,NA,NA
K,home_coach,NA,NA
K,away_coach,NA,NA
K,stadium_id,NA,NA
K,game_stadium,NA,NA
K,home_opening_kickoff,NA,NA
